EmpName,EmpID,MarriedID,GenderID,EmpStatusID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
 Wilson  K Adinolfi,10026,0,1,1,4,0,62506,0,19,Production Technician I,MA,1960,1983-07-10,M,Single,2011-07-05,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,LinkedIn,Exceeds,4.6,5,0,2019-01-17,0,1
 Karthikeyan    Ait Sidi,10084,1,1,5,3,0,104437,1,27,Sr. DBA,MA,2148,1975-05-05,M,Married,2015-03-30,2016-06-16,career change,Voluntarily Terminated,IT/IS,Simon Roup,4,Indeed,Fully Meets,4.96,3,6,2016-02-24,0,17
 Sarah Akinkuolie,10196,1,0,5,3,0,64955,1,20,Production Technician II,MA,1810,1988-09-19,F,Married,2011-07-05,2012-09-24,hours,Voluntarily Terminated,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,3.02,3,0,2012-05-15,0,3
Trina Alagbe,10088,1,0,1,3,0,64991,0,19,Production Technician I,MA,1886,1988-09-27,F,Married,2008-01-07,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Indeed,Fully Meets,4.84,5,0,2019-01-03,0,15
 Carol  Anderson,10069,0,0,5,3,0,50825,1,19,Production Technician I,MA,2169,1989-09-08,F,Divorced,2011-07-11,2016-09-06,return to school,Voluntarily Terminated,Production       ,Webster Butler,39,Google Search,Fully Meets,5.0,4,0,2016-02-01,0,2
 Linda   Anderson,10002,0,0,1,4,0,57568,0,19,Production Technician I,MA,1844,1977-05-22,F,Single,2012-01-09,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,LinkedIn,Exceeds,5.0,5,0,2019-01-07,0,15
 Colby Andreola,10194,0,0,1,3,0,95660,0,24,Software Engineer,MA,2110,1979-05-24,F,Single,2014-11-10,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,LinkedIn,Fully Meets,3.04,3,4,2019-01-02,0,19
 Sam Athwal,10062,0,1,1,3,0,59365,0,19,Production Technician I,MA,2199,1983-02-18,M,Widowed,2013-09-30,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Employee Referral,Fully Meets,5.0,4,0,2019-02-25,0,19
 Linda Bachiochi,10114,0,0,3,3,1,47837,0,19,Production Technician I,MA,1902,2070-02-11,F,Single,2009-07-06,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Diversity Job Fair,Fully Meets,4.46,3,0,2019-01-25,0,4
 Alejandro  Bacong,10250,0,1,1,3,0,50178,0,14,IT Support,MA,1886,1988-01-07,M,Divorced,2015-01-05,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,Indeed,Fully Meets,5.0,5,6,2019-02-18,0,16
 Rachael   Baczenski,10252,1,0,5,3,1,54670,1,19,Production Technician I,MA,1902,1974-01-12,F,Married,2011-01-10,2017-01-12,Another position,Voluntarily Terminated,Production       ,David Stanley,14,Diversity Job Fair,Fully Meets,4.2,4,0,2016-01-30,0,12
 Thomas Barbara,10242,1,1,5,3,1,47211,1,19,Production Technician I,MA,2062,1974-02-21,M,Married,2012-04-02,2016-09-19,unhappy,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,4.2,3,0,2016-05-06,0,15
 Hector Barbossa,10012,0,1,1,4,1,92328,0,9,Data Analyst,TX,78230,1988-07-04,M,Divorced,2014-11-10,,N/A-StillEmployed,Active,IT/IS,Simon Roup,4,Diversity Job Fair,Exceeds,4.28,4,5,2019-02-25,0,9
 Francesco  A Barone,10265,0,1,1,3,0,58709,0,19,Production Technician I,MA,1810,1983-07-20,M,Single,2012-02-20,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Google Search,Fully Meets,4.6,4,0,2019-02-14,0,7
 Nader Barton,10066,0,1,5,3,0,52505,1,19,Production Technician I,MA,2747,1977-07-15,M,Divorced,2012-09-24,2017-04-06,Another position,Voluntarily Terminated,Production       ,Michael Albert,22,On-line Web application,Fully Meets,5.0,5,0,2017-03-02,0,1
 Norman Bates,10061,0,1,4,3,0,57834,1,19,Production Technician I,MA,2050,1981-10-18,M,Single,2011-02-21,2017-08-04,attendance,Terminated for Cause,Production       ,Kelley Spirea,18,Google Search,Fully Meets,5.0,4,0,2017-04-05,0,20
 Kimberly   Beak,10023,1,0,2,4,0,70131,0,20,Production Technician II,MA,2145,2066-04-17,F,Married,2016-07-21,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Employee Referral,Exceeds,4.4,3,0,2019-01-14,0,16
 Courtney  Beatrice,10055,0,0,1,3,0,59026,0,19,Production Technician I,MA,1915,2070-10-27,F,Single,2011-04-04,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Google Search,Fully Meets,5.0,5,0,2019-01-14,0,12
 Renee Becker,10245,0,0,4,3,0,110000,1,8,Database Administrator,MA,2026,1986-04-04,F,Single,2014-07-07,2015-09-12,performance,Terminated for Cause,IT/IS,Simon Roup,4,Google Search,Fully Meets,4.5,4,5,2015-01-15,0,8
 Scott Becker,10277,0,1,3,3,0,53250,0,19,Production Technician I,MA,2452,1979-04-06,M,Single,2013-07-08,,N/A-StillEmployed,Active,Production       ,Webster Butler,39,LinkedIn,Fully Meets,4.2,4,0,2019-01-11,0,13
 Sean Bernstein,10046,0,1,1,3,0,51044,0,19,Production Technician I,MA,2072,2070-12-22,M,Single,2012-04-02,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Google Search,Fully Meets,5.0,3,0,2019-01-14,0,13
 Lowan  M Biden,10226,0,0,1,3,0,64919,0,19,Production Technician I,MA,2027,2058-12-27,F,Divorced,2013-08-19,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,4.2,3,0,2019-01-10,0,2
 Helen Billis,10003,1,0,1,4,0,62910,0,19,Production Technician I,MA,2031,1989-09-01,F,Married,2014-07-07,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Indeed,Exceeds,5.0,3,0,2019-02-27,0,19
 Dianna Blount,10294,0,0,1,2,0,66441,0,20,Production Technician II,MA,2171,1990-09-21,F,Single,2011-04-04,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,CareerBuilder,Needs Improvement,2.0,3,0,2019-02-27,2,3
 Betsy Bondwell,10267,0,0,5,3,0,57815,1,20,Production Technician II,MA,2210,2067-01-16,F,Single,2011-01-10,2014-04-04,career change,Voluntarily Terminated,Production       ,Elijiah Gray,16,Google Search,Fully Meets,4.8,5,0,2014-03-04,0,5
 Frank Booth,10199,0,1,4,3,0,103613,1,30,Enterprise Architect,CT,6033,2064-07-30,M,Single,2014-02-17,2016-02-19,Learned that he is a gangster,Terminated for Cause,IT/IS,Simon Roup,4,LinkedIn,Fully Meets,3.5,5,7,2016-01-10,0,2
 Bonalyn Boutwell,10081,1,0,1,3,1,106367,0,26,Sr. Accountant,MA,2468,1987-04-04,F,Married,2015-02-16,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,3,Diversity Job Fair,Fully Meets,5.0,4,3,2019-02-18,0,4
 Charles Bozzi,10175,0,1,5,3,0,74312,1,18,Production Manager,MA,1901,2070-03-10,M,Single,2013-09-30,2014-08-07,retiring,Voluntarily Terminated,Production       ,Janet King,2,Indeed,Fully Meets,3.39,3,0,2014-02-20,0,14
 Donna Brill,10177,1,0,5,3,0,53492,1,19,Production Technician I,MA,1701,1990-08-24,F,Married,2012-04-02,2013-06-15,Another position,Voluntarily Terminated,Production       ,David Stanley,14,Google Search,Fully Meets,3.35,4,0,2013-03-04,0,6
 Mia Brown,10238,1,0,1,3,1,63000,0,1,Accountant I,MA,1450,1987-11-24,F,Married,2008-10-27,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,1,Diversity Job Fair,Fully Meets,4.5,2,6,2019-01-15,0,14
 Joseph   Buccheri,10184,0,1,1,3,0,65288,0,20,Production Technician II,MA,1013,1983-07-28,M,Single,2014-09-29,,N/A-StillEmployed,Active,Production       ,Webster Butler,39,Google Search,Fully Meets,3.19,3,0,2019-02-01,0,9
 Josephine  Bugali,10203,0,0,3,3,1,64375,0,19,Production Technician I,MA,2043,2069-10-30,F,Separated,2013-11-11,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,3.5,5,0,2019-01-21,0,17
 Jessica Bunbury,10188,1,0,5,3,0,74326,1,3,Area Sales Manager,VA,21851,2064-06-01,F,Married,2011-08-15,2014-08-02,Another position,Voluntarily Terminated,Sales,John Smith,17,Google Search,Fully Meets,3.14,5,0,2013-02-10,1,19
 Joelle Burke,10107,0,0,1,3,0,63763,0,20,Production Technician II,MA,2148,1980-03-02,F,Single,2012-03-05,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Employee Referral,Fully Meets,4.51,4,0,2019-02-21,0,3
 Benjamin  Burkett,10181,1,1,1,3,0,62162,0,20,Production Technician II,MA,1890,1977-08-19,M,Married,2011-04-04,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,3.25,5,0,2019-01-14,0,15
 Max  Cady,10150,0,1,1,3,0,77692,0,25,Software Engineering Manager,MA,2184,2066-11-22,M,Single,2011-08-15,,N/A-StillEmployed,Active,Software Engineering,Jennifer Zamora,5,Google Search,Fully Meets,3.84,3,5,2019-01-21,0,4
 Calvin Candie,10001,0,1,1,4,0,72640,0,18,Production Manager,MA,2169,1983-08-09,M,Single,2016-01-28,,N/A-StillEmployed,Active,Production       ,Janet King,2,Indeed,Exceeds,5.0,3,0,2019-02-22,0,14
